"ID","Name","Description","URL","SKU","Categories","Status","Image","Price","Stock Status","Sale Price"
"4731","Miller 12pk 330ml bottles","<p>Age Restricted Item, Identification must be shown to the driver.</p>","https://weshop4u.ie/products/miller-12pk-330ml-bottles","SF-2443-0OB4","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/miller-12pk.jpg","19.5","out_of_stock",""
"4733","Served Passion Fruit Martini 250ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/served-passion-fruit-martini-250ml","SF-2443-ITXA","Flavored Alcohol","published","https://weshop4u.ie/storage/served-passion-fruit-martini-250ml.jpg","4.65","in_stock",""
"4734","Served Mojito 250ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/served-mojito-250ml","SF-2443-NFJ4","Flavored Alcohol","published","https://weshop4u.ie/storage/served-mojito-250ml.jpg","4.65","in_stock",""
"4735","Served Margarita 250ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/served-mojito-250ml-4735","SF-2443-NFJ4-bgGDv","Flavored Alcohol","published","https://weshop4u.ie/storage/served-margarita-250ml.jpg","4.65","in_stock",""
"4736","Jameson Ginger Ale and Lime 250ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/jameson-ginger-ale-and-lime-250ml","SF-2443-MCWZ","Flavored Alcohol","published","https://weshop4u.ie/storage/jameson-ginger-ale-and-lime-250ml.jpg","3.95","in_stock",""
"4737","Jameson Whiskey and Cola 250ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/jameson-whiskey-and-cola-250ml","SF-2443-MCWZ-KQLIX","Flavored Alcohol","published","https://weshop4u.ie/storage/jameson-whiskey-and-cola-250ml.jpg","3.95","in_stock",""
"4738","Malibu Strawberry Daiquiri 250ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/malibu-strawberry-daiquiri-250ml","SF-2443-B77F-YUzip-g2eeB","Flavored Alcohol","published","https://weshop4u.ie/storage/malibu-strawberry-daiquiri-250ml.jpg","3.55","in_stock",""
"4739","BuzzBallz Chili Mango 200ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/buzzballz-chili-mango-200ml","SF-2443-4XEN","Flavored Alcohol","published","https://weshop4u.ie/storage/buzzballz-chili-mango-200ml.jpg","5.5","in_stock",""
"4740","BuzzBallz Strawberry Rita 200ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/buzzballz-strawberry-rita-200ml","SF-2443-4XEN-TIMfN","Flavored Alcohol","published","https://weshop4u.ie/storage/buzzballz-strawberry-rita-200ml.jpg","5.5","in_stock",""
"4741","BuzzBallz Tequila Rita 200ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/buzzballz-tequila-rita-200ml","SF-2443-4XEN-TIMfN-FMrpV","Flavored Alcohol","published","https://weshop4u.ie/storage/buzzballz-tequila-rita-200ml.jpg","5.5","in_stock",""
"4742","Bulmers Light 8pk 500ml","<p>Age restricted item. Customers must show id on delivery.</p><p>All drink bottles and cans have the relevant DRS ( Deposit Return Scheme) already added to the final price.</p>","https://weshop4u.ie/products/bulmers-light-8pk-500ml","","Beers, Ciders, Cans and Bottles","published","https://weshop4u.ie/storage/bulmers-light-8pk-500ml.jpg","20.05","in_stock",""
"4743","Smirnoff Ice 4pk 250ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/smirnoff-ice-4pk-250ml","SF-2443-KDXX","Flavored Alcohol","published","https://weshop4u.ie/storage/smirnoff-ice-4pk-250ml.jpg","10","in_stock",""
"4744","Maschio Prosecco 3pk 200ml","<p>Age Restricted Item, Identification must be shown to the driver.</p><p>D.R.S. has already been included in the price.</p>","https://weshop4u.ie/products/maschio-prosecco-3pk-200ml","SF-2443-6EJK","Flavored Alcohol","published","https://weshop4u.ie/storage/maschio-prosecco-3pk-200ml.jpg","12.99","in_stock",""
"4745","OCB Black Premium Papers 11g","<p>AGE RESTRICTED ITEM. IDENTIFICATION MUST BE SHOWN TO THE DRIVER.</p>","https://weshop4u.ie/products/ocb-black-premium-papers-11g-4745","SF-2443-12N4-KIgAG","Tobacco and Cigars and Papers","published","https://weshop4u.ie/storage/products/ocb-black-premium-papers-11g.jpg","2.3","in_stock",""
"4746","OCB Virgin Slim Papers","<p>AGE RESTRICTED ITEM. IDENTIFICATION MUST BE SHOWN TO THE DRIVER.</p>","https://weshop4u.ie/products/ocb-virgin-slim-papers-4746","SF-2443-S9UX-9nHNt","Tobacco and Cigars and Papers","published","https://weshop4u.ie/storage/products/ocb-virgin-slim-papers.jpg","2.3","in_stock",""
"4748","M&S Pretzel Fudge Mini Bites 225g","","https://weshop4u.ie/products/ms-pretzel-fudge","SF-2443-TEVF","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/ms-pretzel-fudge.jpg","5.5","in_stock",""
"4749","M&S Strawberry and Cream Mini Bites 225g","","https://weshop4u.ie/products/ms-strawberry-and-cream-mini-bites-225g","SF-2443-TEVF-zYVbI","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/ms-strawberry-and-cream-mini-bites.jpg","5.5","in_stock",""
"4751","M&S Caramel Millionaire Mini Bites 225g","","https://weshop4u.ie/products/ms-caramel-millionaire-mini-bites-225g","SF-2443-YRGD","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/ms-caramel-millionaire-mini-bites.jpg","5.5","in_stock",""
"4752","M&S Caramel Crispy Mini Bites 225g","","https://weshop4u.ie/products/ms-caramel-crispy-mini-bites-225g","SF-2443-YRGD-Y1XI2","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/ms-caramel-crispy-mini-bites.jpg","5.5","in_stock",""
"4754","M&S Rocky Road Mini Bites 225g","","https://weshop4u.ie/products/ms-rocky-road-mini-bites-225g-4754","SF-2443-VIFB-0FLUV","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/ms-rocky-road-mini-bites.jpg","5.5","in_stock",""
